State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
ZAMFARA,ANKA,BAGEGA,36-01-01-001,BAGEGA I/KANWURI,146,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117460/result_64613_1678127066_thumb.jpg
ZAMFARA,ANKA,BAGEGA,36-01-01-003,TUBUKI/GARKA,177,753,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,898,5,7,484,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/003/003-1677368462.pdf
ZAMFARA,ANKA,BAGEGA,36-01-01-004,MALLAMAWA/PRI. SCH.,218,648,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/004/004-1677369571.pdf
ZAMFARA,ANKA,BAGEGA,36-01-01-005,MALLAMAWA/PRI. SCH.,218,648,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/004/004-1677369571.pdf
ZAMFARA,ANKA,BAGEGA,36-01-01-006,KAWAYE  II/KANWURI,82,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,71,0,6,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117465/result_64618_1678125220_thumb.jpg
ZAMFARA,ANKA,BAGEGA,36-01-01-007,DAWON -JIYA/KANWURI,97,686,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,80,0,10,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117466/result_64619_1678124715_thumb.jpg
ZAMFARA,ANKA,BAGEGA,36-01-01-008,DUZA/PRI. SCH,103,758,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3863/ward/26187/pu/118567/118567-1677514667.pdf
ZAMFARA,ANKA,BAGEGA,36-01-01-009,DANGAZAU/PRI. SCH,102,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,87,0,7,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117468/result_64621_1678126161_thumb.jpg
ZAMFARA,ANKA,BAGEGA,36-01-01-010,DUTSI/GARKA,128,637,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,64,0,60,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117469/result_64622_1678126614_thumb.jpg
ZAMFARA,ANKA,BAGEGA,36-01-01-011,ZAMFARAWA/PRI. SCHOOL,51,268,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117470/result_64623_1678123527_thumb.jpg
ZAMFARA,ANKA,BAGEGA,36-01-01-012,KASUMKA/PRI. SCHOOL,98,844,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117471/result_64624_1678126719_thumb.jpg
ZAMFARA,ANKA,BAGEGA,36-01-01-013,MAKAKARI/PRI. SCHOOL,109,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117472/result_64625_1678126823_thumb.jpg
ZAMFARA,ANKA,BARAYAR-ZAKI,36-01-02-001,BARAYAR-ZAKI/KANWURI,251,609,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/001/001-1677419812.pdf
ZAMFARA,ANKA,BARAYAR-ZAKI,36-01-02-002,RAFIN-GERO/KANWURI,161,613,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1,1498,1,2,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/002/002-1677422468.pdf
ZAMFARA,ANKA,BARAYAR-ZAKI,36-01-02-003,TUNGAR GODAI/GIDAN HAKIMI,143,557,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/003/003-1677421911.pdf
ZAMFARA,ANKA,BARAYAR-ZAKI,36-01-02-004,TUNGAR NAMORE/G/HAKIMI,112,241,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/004/004-1677420241.pdf
ZAMFARA,ANKA,BARAYAR-ZAKI,36-01-02-005,DUTSIN DAN - AJIYA/G/ HAKIMI,85,363,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/005/005-1677421744.pdf
ZAMFARA,ANKA,BARAYAR-ZAKI,36-01-02-006,DUTSIN DAN - AJIYA/G/ HAKIMI,85,363,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/005/005-1677421744.pdf
ZAMFARA,ANKA,BARAYAR-ZAKI,36-01-02-007,JIGAWA/KANWURI,135,537,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/007/007-1677422108.pdf
ZAMFARA,ANKA,BARAYAR-ZAKI,36-01-02-008,BARDI/KANWURI,176,695,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/008/008-1677419988.pdf
ZAMFARA,ANKA,BARAYAR-ZAKI,36-01-02-009,MALLAMAWA/PRI. SCH.,219,439,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/009/009-1677422869.pdf
ZAMFARA,ANKA,BARAYAR-ZAKI,36-01-02-010,LAHO/LAHO,138,265,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/010/010-1677415595.pdf
ZAMFARA,ANKA,BARAYAR-ZAKI,36-01-02-011,SALLAH/PRI SCHOOL,81,192,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/011/011-1677421725.pdf
ZAMFARA,ANKA,BARAYAR-ZAKI,36-01-02-012,SHIYAR - LIMAN/LIMANCHI,194,445,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/012/012-1677422168.pdf
ZAMFARA,ANKA,BARAYAR-ZAKI,36-01-02-013,SHIYAR S/GARI/SABON GARI,53,202,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/013/013-1677421747.pdf
ZAMFARA,ANKA,BARAYAR-ZAKI,36-01-02-014,SHIYAR S/GARI/SABON GARI,53,202,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/013/013-1677421747.pdf
ZAMFARA,ANKA,BARAYAR-ZAKI,36-01-02-015,SHIYAR S/GARI/SABON GARI,53,202,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/013/013-1677421747.pdf
ZAMFARA,ANKA,BARAYAR-ZAKI,36-01-02-016,TUNGAR GEZA/GEZA,72,315,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/016/016-1677420189.pdf
ZAMFARA,ANKA,BARAYAR-ZAKI,36-01-02-017,S / GARIN TIGALLA/TIGALLA,71,173,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/017/017-1677419337.pdf
ZAMFARA,ANKA,BARAYAR-ZAKI,36-01-03-001,S / GARIN TIGALLA/TIGALLA,71,173,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/017/017-1677419337.pdf
ZAMFARA,ANKA,DAN GALADIMA,36-01-03-002,DANDAMBE/GARKAR DANDAMBE,234,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/002/002-1677358712.pdf
ZAMFARA,ANKA,DAN GALADIMA,36-01-03-003,ALH. KANTI/GIDAN ALH. KANTI,230,906,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3863/ward/26189/pu/118592/118592-1677508335.pdf
ZAMFARA,ANKA,DAN GALADIMA,36-01-03-004,G.S.S./SECONDARY SCHOOL,149,683,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3863/ward/26189/pu/118593/118593-1677513833.pdf
ZAMFARA,ANKA,DAN GALADIMA,36-01-03-005,GARGAM/GARKAR HAKIMI,133,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,72,0,53,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3863/ward/26189/pu/118594/118594-1677509463.pdf
ZAMFARA,ANKA,DAN GALADIMA,36-01-03-006,TUNGAR DAN GALADIMA/GARKAR HAKIMI,182,548,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/006/006-1677419858.pdf
ZAMFARA,ANKA,DAN GALADIMA,36-01-03-007,MODEL PRI. SCH./PRIMARY SCHOOL,296,842,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/007/007-1677368976.pdf
ZAMFARA,ANKA,GALADIMA,36-01-04-001,SHIYAR -YARI/GIDAN YARI,173,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/001/001-1677369925.pdf
ZAMFARA,ANKA,GALADIMA,36-01-04-004,SHIYAR SARKIN RUWA/GARKAR SARKIN RUWA,227,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/004/004-1677369377.pdf
ZAMFARA,ANKA,GALADIMA,36-01-04-006,LALLAHO/KANWURI,23,424,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,711,3,5,1135,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/006/006-1677372402.pdf
ZAMFARA,ANKA,GALADIMA,36-01-04-007,INWALA/KANWURI,94,352,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/007/007-1677413627.pdf
ZAMFARA,ANKA,GALADIMA,36-01-04-008,LIMANCI/BAKIN MASALLACHI,223,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/008/008-1677413501.pdf
ZAMFARA,ANKA,GALADIMA,36-01-04-009,RUWANKAI/G/HAKIMI,45,407,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/009/009-1677413799.pdf
ZAMFARA,ANKA,MAGAJI,36-01-05-001,TUNGAR LIMAN/PRI. SCH.,172,487,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/001/001-1677417587.pdf
ZAMFARA,ANKA,MAGAJI,36-01-05-002,TUNGAR LIMAN/PRI. SCH.,172,487,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/001/001-1677417587.pdf
ZAMFARA,ANKA,MAGAJI,36-01-05-003,TUNGAR LIMAN/PRI. SCH.,172,487,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/001/001-1677417587.pdf
ZAMFARA,ANKA,MAGAJI,36-01-05-004,BANBARAN/KANWURI,192,453,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/004/004-1677417757.pdf
ZAMFARA,ANKA,MAGAJI,36-01-05-005,SAKATARIYA/SECRETARIAT,233,1032,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/005/005-1677418085.pdf
ZAMFARA,ANKA,MAGAJI,36-01-05-006,GARKAR ALIN KILO/GIDAN ALH. ALI KILO,200,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/006/006-1677418681.pdf
ZAMFARA,ANKA,MAGAJI,36-01-05-007,GARKAR ALIN KILO/GIDAN ALH. ALI KILO,200,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/006/006-1677418681.pdf
ZAMFARA,ANKA,MAGAJI,36-01-05-008,KARIMA/KARIMA GUEST INN,229,1063,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/008/008-1677418148.pdf
ZAMFARA,ANKA,MAGAJI,36-01-05-010,SARDAUNA/GARKAR SARDAUNA,205,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/010/010-1677415959.pdf
ZAMFARA,ANKA,MATSERI,36-01-06-001,GIMA I/PRI. SCH,220,607,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3863/ward/26192/pu/118616/118616-1677508779.pdf
ZAMFARA,ANKA,MATSERI,36-01-06-002,KWANAR MAJE I/PRI. SCH.,236,586,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3863/ward/26192/pu/118617/118617-1677591831.pdf
ZAMFARA,ANKA,MATSERI,36-01-06-003,KWANAR MAJE I/PRI. SCH.,236,586,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3863/ward/26192/pu/118617/118617-1677591831.pdf
ZAMFARA,ANKA,MATSERI,36-01-06-004,GIRKAU/KANWURI,123,325,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3863/ward/26192/pu/118619/118619-1677510818.pdf
ZAMFARA,ANKA,MATSERI,36-01-06-005,TUDUN ROGO/GIDAN HAKIMI,25,218,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3863/ward/26192/pu/118620/118620-1677510723.pdf
ZAMFARA,ANKA,MATSERI,36-01-06-006,TUMBA/KANWURI,255,449,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3863/ward/26192/pu/118621/118621-1677590741.pdf
ZAMFARA,ANKA,MATSERI,36-01-06-007,MATSERI/PRI. SCH.,139,615,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3863/ward/26192/pu/118622/118622-1677613392.pdf
ZAMFARA,ANKA,MATSERI,36-01-06-009,MAHUTA/GIDAN HAKIMI,205,421,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3863/ward/26192/pu/118624/118624-1677613422.pdf
ZAMFARA,ANKA,MATSERI,36-01-06-010,MAHUTA/GIDAN HAKIMI,205,421,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3863/ward/26192/pu/118624/118624-1677613422.pdf
ZAMFARA,ANKA,MATSERI,36-01-06-011,MAHUTA/GIDAN HAKIMI,205,421,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3863/ward/26192/pu/118624/118624-1677613422.pdf
ZAMFARA,ANKA,MATSERI,36-01-06-012,BABBAN BAYE/G/HAKIMI,106,473,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3863/ward/26192/pu/118627/118627-1677511320.pdf
ZAMFARA,ANKA,MATSERI,36-01-06-013,GEBEN DAN BA'U - KANWURI,79,263,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3863/ward/26192/pu/118628/118628-1677509849.pdf
ZAMFARA,ANKA,MATSERI,36-01-06-014,GEBEN DAN BA'U - KANWURI,79,263,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3863/ward/26192/pu/118628/118628-1677509849.pdf
ZAMFARA,ANKA,MATSERI,36-01-06-015,GEBEN DAN BA'U - KANWURI,79,263,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3863/ward/26192/pu/118628/118628-1677509849.pdf
ZAMFARA,ANKA,MATSERI,36-01-06-016,GEBEN DAN BA'U - KANWURI,79,263,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3863/ward/26192/pu/118628/118628-1677509849.pdf
ZAMFARA,ANKA,MATSERI,36-01-06-017,ZAGA/ZAGA,137,410,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3863/ward/26192/pu/118632/118632-1677509331.pdf
ZAMFARA,ANKA,MATSERI,36-01-06-018,MANYA/MANYA  GARKA,157,407,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3863/ward/26192/pu/118633/118633-1677592800.pdf
ZAMFARA,ANKA,MATSERI,36-01-06-020,KATUMBURE/KATUNBURE,172,594,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,21,0,116,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3863/ward/26192/pu/118635/118635-1677511086.pdf
ZAMFARA,ANKA,SABON BIRINI,36-01-07-001,SHIYAR MAGAJI - GIDAN HAKIMI,111,807,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/118636-1677858634.pdf
ZAMFARA,ANKA,SABON BIRINI,36-01-07-002,SHIYAR GALADIMA/GIDAN GALADIMA,64,737,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/07/pu/002/002-1677424603.pdf
ZAMFARA,ANKA,SABON BIRINI,36-01-07-003,SHIYAR GALADIMA/GIDAN GALADIMA,64,737,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/07/pu/002/002-1677424603.pdf
ZAMFARA,ANKA,SABON BIRINI,36-01-07-004,SHIYAR GALADIMA/GIDAN GALADIMA,64,737,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/07/pu/002/002-1677424603.pdf
ZAMFARA,ANKA,SABON BIRINI,36-01-07-005,D/KIRUNGU/PRI. SCH.,32,593,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/07/pu/005/005-1677418122.pdf
ZAMFARA,ANKA,SABON BIRINI,36-01-07-006,GOBIRAWA/PRI. SCH.,35,722,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/07/pu/006/006-1677418848.pdf
ZAMFARA,ANKA,SABON BIRINI,36-01-07-007,BAWAR DAJI/PRI. SCH.,28,720,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1261,14,45,778,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/07/pu/007/007-1677417371.pdf
ZAMFARA,ANKA,SABON BIRINI,36-01-07-008,DOKA/GIDAN HAKIMI,22,539,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3863/ward/26193/pu/118643/118643-1677510874.pdf
ZAMFARA,ANKA,SABON BIRINI,36-01-07-009,DOKA/GIDAN HAKIMI,22,539,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3863/ward/26193/pu/118643/118643-1677510874.pdf
ZAMFARA,ANKA,SABON BIRINI,36-01-07-010,FARAR KASA/PRI. SCH.,0,436,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/07/pu/010/010-1677423219.pdf
ZAMFARA,ANKA,SABON BIRINI,36-01-07-011,HAYIN BAWA/PRIMARY SCHOOL,0,438,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/07/pu/011/011-1677426013.pdf
ZAMFARA,ANKA,SABON BIRINI,36-01-07-012,ZANOKA/GARKAR BAWA,3,411,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3863/ward/26193/pu/118647/118647-1677509913.pdf
ZAMFARA,ANKA,SABON BIRINI,36-01-07-013,D/KURYA/GIDAN HAKIMI,0,337,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3863/ward/26193/pu/118648/118648-1677514834.pdf
ZAMFARA,ANKA,SABON BIRINI,36-01-07-014,AKUZO/GIDAN HAKIMI,0,517,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/07/pu/014/014-1677426803.pdf
ZAMFARA,ANKA,WARAMU,36-01-08-001,WARAMU/PRI. SCH.,161,705,TRUE,0,TRUE,TRUE,FALSE,FALSE,TRUE,108,0,37,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/001/001-1677416447.pdf
ZAMFARA,ANKA,WARAMU,36-01-08-002,MODA/PRI. SCH.,70,703,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/002/002-1677416292.pdf
ZAMFARA,ANKA,WARAMU,36-01-08-003,BIRNIN-TUDU/PRI. SCH.,295,827,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/003/003-1677416175.pdf
ZAMFARA,ANKA,WARAMU,36-01-08-004,BIRNIN-TUDU/PRI. SCH.,295,827,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/003/003-1677416175.pdf
ZAMFARA,ANKA,WARAMU,36-01-08-005,SHABLI NASARAWA/G/HAKIMI,112,371,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/005/005-1677415642.pdf
ZAMFARA,ANKA,WARAMU,36-01-08-006,SHABLI/PRIMARY SCHOOL,133,618,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/006/006-1677413806.pdf
ZAMFARA,ANKA,WARAMU,36-01-08-007,TUNGAR-TSAKA/PRI. SCH.,163,617,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/007/007-1677414414.pdf
ZAMFARA,ANKA,WARAMU,36-01-08-008,TUNGAR DUTSI/G/HAKIMI,230,602,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/008/008-1677414697.pdf
ZAMFARA,ANKA,WARAMU,36-01-08-009,WANO/G/HAKIMI,40,437,TRUE,0,FALSE,FALSE,FALSE,FALSE,TRUE,25,0,15,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/009/009-1677415168.pdf
ZAMFARA,ANKA,WARAMU,36-01-08-010,TUNGAR DANGAYA/G/HAKIMI,175,384,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/010/010-1677414962.pdf
ZAMFARA,ANKA,WARAMU,36-01-08-011,SHIYAR TUDU PRIMARY SCHOOL,174,616,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/011/011-1677415280.pdf
